title,artist,tempo,chroma_number,zcr_mean,zcr_std,energy_mean,energy_entropy_mean,spectral_centroid_mean,spectral_spread_mean,spectral_entropy_mean,mfcc_2_mean,mfcc_5_mean,mfcc_6_mean,spectral_centroid_std,spectral_entropy_std,spectral_spread_std,chroma_7_std,delta chroma_2_std,delta chroma_3_std,delta chroma_9_std,delta chroma_std_std,delta energy_std,delta mfcc_1_std,delta mfcc_3_std,delta mfcc_13_std,delta spectral_centroid_std,delta spectral_entropy_std,delta spectral_flux_std,delta spectral_spread_std,primary,secondary
Sunshine Girl (Pt. 2),Jakob,75.99954044117646,-0.0156660990437457,0.0185456857341309,0.0105231830656218,0.0547865470145679,3.0945221854274547,0.0981345890037169,0.1733976437436657,0.0681531912242931,3.3491764411718457,-0.1789780084943939,0.0545422247962331,0.0308172276045671,0.0831104571593305,0.0330137528147551,0.0478704792483072,0.0063334898370771,0.0639297305741328,0.0087441439444532,0.0169856003356273,0.04045904374487,1.405962861584836,0.3753354712728781,0.2048493929645561,0.0373506889978681,0.0911894126942337,0.0130571446748928,0.0436181425485805,2,4
All Your Love,Jakob Ogawa,86.1328125,-0.0121127323775857,0.0326112442684451,0.0144054533547723,0.067621544119087,3.0939926332847745,0.0985404092826013,0.1541442217322363,0.1904785204887553,1.8878626111108727,0.1353862600058408,0.1284785017337901,0.0246624285899647,0.1464729112524525,0.0316855988218034,0.0541373198604712,0.0068816818985617,0.0598012238009722,0.0171830898715123,0.0193925094732931,0.0723255698387468,1.2315636950468485,0.5221348788770704,0.2477341218740781,0.0288104945235695,0.1339099756227242,0.0166164878782334,0.0416273803535602,4,5
You Might Be Sleeping (w. Clairo),Jakob Ogawa,92.28515625,-0.0034540407026909,0.0268511166565839,0.0091249966156964,0.0831362580743133,3.1637050535493203,0.0900173578489365,0.1522282257786474,0.0855046195290674,2.7195710087297624,-0.158818014331818,0.0459385807667598,0.0227698575500159,0.0627347152543981,0.031811441417785,0.0280426114041138,0.0072403158083866,0.0370135150420601,0.009693949585103,0.0110400490746278,0.0561319160043611,0.852562847520121,0.4437608560524549,0.2074005279017594,0.0270933558118916,0.0660133056174086,0.0087866004675322,0.0407295027511026,2,4
In This Shirt,Jamie McDermott,161.4990234375,0.0014778474502575,0.0430092140381875,0.013500035973415,0.056972121193094,3.223715330849556,0.1013073249869772,0.1462556668937637,0.2500764083259056,1.875083066020309,-0.0528179149611931,-0.0674118276279943,0.021316723758088,0.1384904417992924,0.024995620923143,0.0093614077249156,0.0042967290322245,0.019487610012117,0.0068477683302175,0.0059687464793536,0.0101828630760901,0.3882021240247147,0.248272835643325,0.1912912432942179,0.0228748343075182,0.1164513384267503,0.0027558182387055,0.033167164963901,1,6
Looking Out For You,Joy Again,99.38401442307692,0.0094375772536644,0.0459406162824253,0.0169240645923314,0.0753968925585543,3.1096615205338263,0.1126754065920655,0.15227275319586,0.3838283853540064,2.039796253826907,0.3179115087488902,0.2400049526849022,0.0226946311781106,0.2075275365790294,0.0243202889732109,0.0351889947352466,0.005497427056208,0.03571564033796,0.0136997480608388,0.0106906272571372,0.0487260767269215,1.3817316449662331,0.4345025674858735,0.2157815837232341,0.0258238808933341,0.2179294745112329,0.0057286609592624,0.0309686648586442,2,3
Feel Like A Fool,Kali Uchis,107.666015625,-0.0095574250015455,0.0557266358331869,0.0274917036626906,0.0845058766365231,3.166845375708333,0.1413140434029714,0.1746275813986985,0.3897719571475074,1.7277713323780317,0.0325704832905865,0.3202170225211093,0.0305362910469763,0.250819731727455,0.0207366811443852,0.0541612166066359,0.0052969730442831,0.0310264874688536,0.0099659871768654,0.0148150488602228,0.054925225946817,0.8881489128742549,0.3345509153780999,0.2173102148039477,0.0309150320089345,0.2408318864862224,0.0049497285243584,0.0239349585138832,2,5
Telepatia,Kali Uchis,83.35433467741936,0.0214400453970045,0.039606841316184,0.0236127651908663,0.0697489912247689,3.146406033876825,0.1252803706900992,0.1725427541551406,0.2839572196845622,2.1861438343107693,0.055568950258484,0.2568496653941579,0.0350949418664916,0.2438227831924244,0.0252877771755242,0.0732732484424091,0.0052011392980064,0.0477101129125368,0.0074396063218247,0.0166009064511622,0.0416254626390979,0.9064078007290182,0.424095338156063,0.2239868123994783,0.0391030311604922,0.253565366062761,0.0106919666612052,0.0321496595192177,2,4
i want war (BUT I NEED PEACE),Kali Uchis,89.10290948275862,-0.0467690690675407,0.0441885807370437,0.0228673557589077,0.0257892035413209,3.124968541707652,0.1391809763743998,0.1899708060036154,0.21900444562571,3.0712463226729723,-0.1660686007309669,-0.0585841355588705,0.0367324331186628,0.1659783130834816,0.0257569990511908,0.0259338111026195,0.0032989385566331,0.0398386805957799,0.0115099325956375,0.012883438899722,0.0170175648826763,0.961659854171008,0.3714335664360328,0.2283042926881566,0.0377770703172068,0.1687718392949189,0.0052210831972137,0.0318574716433842,4,5
Half Sleep,Lamp,95.703125,0.010640254197395,0.0203263754412439,0.003947954138104,0.0363636727748852,3.1969771397935545,0.0743140216370571,0.1480990718883764,0.0296945090255043,3.684663402792432,-0.4489850551180804,-0.1378469561978168,0.0262265925826668,0.023310335501761,0.0418836980883909,0.0057077042741295,0.0111009721309909,0.039188382636643,0.0068892250744723,0.0093916347437694,0.0131577081272734,0.8938699545750257,0.3452551888216514,0.2032513734126736,0.0349335469255949,0.0249644764267824,0.0100592638598473,0.0572603360648828,2,4
From The Start,Laufey,107.666015625,-0.0136837568733281,0.0287536473530637,0.0218944761009431,0.098293280661758,3.1770463571363647,0.1042899192481754,0.1663582533519841,0.1457298176629991,2.902832982228917,-0.0266587244349599,-0.0696657068632725,0.0365853182196832,0.1883424402668174,0.0298270169837218,0.0313351891352641,0.0058263750278795,0.0373294047451963,0.0183298696103764,0.0130053480014082,0.0479807801423689,1.2682264223872344,0.4290476949626545,0.2456392835990156,0.0377109846405633,0.1817994930859442,0.0126846420572174,0.0381414064155483,2,6
